Name,Imported table,Total
Shreveport,"Helen Godfrey-Smith,Lola B. May,Rudy Morton,Barbara Norton,Herschel C. Brown,June Phillips,Larry Ferdinand,Patti Cox,Steve G. Kirkikis,Adrienne Critcher,Greg P. Hebert,Lucille Williams,Jay Gallagher,Carrol Grace White,Don Hollis,Sandra Sandy McDade,Stephen Gibson,Wayne Waddell,Bryan Wooley,Alan Seabaugh,Jimmy C. Allen,Royal Alexander,Barrow Peacock,Harold O. Coates,Ron Webb,Lynn D. Cawthorne,John Fleming,Jeffrey P. Victory,""James E. Stewart, Sr."",Charles B. Peatross,Gay Gaskins,Walter C. Lee,B. L.Buddy Shaw,Sherri Smith Cheek,Lydia P. Jackson,Roy A. Burrell,Barbara Norton,Patrick C. Williams,Wayne Waddell,""Thomas Gaughan Carmody, Jr."",Ramona Emanuel,Leon L. Emanuel,""John Mosely, Jr."",Ramon Lafitte,Scott J. Crichton,Jeanette G. Garrett,Craig Marcotte,Robert P. Bobby Waddell,Mike Pitman,Frances Pitman,Roy L. Brun,Charles Rex Scott,R. Lee Irvin,Bill Kelly,Pammela Lattier,Randy E. Collins,Charlie Caldwell,Cedric B. Glover,""Calvin Ben Lester, Jr."",Monty Walford,Michael Long,Bryan Wooley,Ron Webb,Joe Shyne,Joyce Bowman,Artis Ray Cash,Larry Ferdinand,""David W. Hylan, Jr."",Don Miller,June Phillips,Kirk Green,Lillian Priest,Steve G. Kirkikis,Mike Sullivan,Nita Steele,""Edward M. Brossette,"",Harold O. Coates,Betsy Malone,Jay Murrell,Barry Rachal,Kim Brun,Mike Romanos,Creighton Light,Jay Gallagher,Claude L. White,""Austin G. Robertson, Jr."",Don Hollis,Louis R. Avallone,Jimmy C. Allen,Stepphen C. Gibson,Alan W. Koloc,Shonda Stone,Paul Young,David Matlock,Stephen W. Prator,Gary Loftin,""Charles R. Henington, Jr."",Todd G. Thoma,Rose Wilson McCulloch,""Carl A. Pierson, Sr."",Matthew Linn,Sam Jenkins,Lindora Baker,Stephanie Lynch,John Escude,Michael Mike Thibodeaux,David F. Cox,Jim Smith,Ken Epperson,Steve Riall,Eursla Dickerson Hardy,Willie D. Burton,Charlotte Crawley,Lola B. May,Tammy Phelps,Lillian Priest,Bonita H. Crawford,Barry Rachal,Larry Ramsey,Ginger Armstrong,Dottie Bell,Glenda Ennis Britton,Susan Waddell,Gregory M. Taylor,Mike Lowery,David O. Anderson,Eric Hatfield,Allison A. Jones,""Ross V. Prewett, III"",Jimmy Whittington,Jessie Davis",131
Keithville,"Richard R. Anderson,Robert Bob Brown,Robert Bob Brown,""T. A. """"Tom"""" Hyer"",John McGrew",5
Mansfield,"Candie Cox,""Bryan B. Norwood, Jr."",Robert E. Burgess,""Richard Z. Johnson, Jr."",Kenny Cox,""Bryan B. Norwood, Jr."",Rodney Arbuckle,""O. L. Sonny Stone, Jr."",Jarrell O. Burch,Jeff L. Heard,Ernel Jones,Sylvester Mayweather,Donnie Dufour,John A. Neilson,Tommy Craig,Barthlomew Claiborne,""L. J. Mayweather, Jr."",S. Phillip Joyner,""Wilbur T. Purvis, Jr."",Billy Murphy,""Travis Bubba English, Jr."",Linda Wilburn Davidson,Curtis W. McCoy,Euricka Mayweather,Altheaon H. Burch,""David Glen Burch, Sr."",""Guy B. Sonny Hall, III"",Dudley Kemper,Mitchell Lewis,""Joseph Hall, Jr."",""Alvin Woodley,"",Alvin Ray Woodley,Ola Mae Evans,Dianne Hudson,Jimmy L. Smith,Dwena M. Henry,Mark A. Murphrey",37
Bossier City,"Rosemarie Rosie Salinas,Nyle Politz,Nancy Cook,Greg Nichols,Anne Price,Janie M. Kelley,James Jay Caraway,""Henry N. Brown, Jr."",Foster Campbell,Jane H. Smith,Michael Mike Craig,Jeff Cox,John M. Robinson,Bruce Bolin,Parker Self,Rosemarie Rosie Salinas,Peyton Cole,Michael Mike Mosura,Anne Price,J. Brad Cummings,Joseph Joe Gregorio,Janie M. Kelley,Barry Butler,Rick Avery,James Jimmy Cochran,J. Brad Cummings,William Bill Altimus,Jerome L. Darby,W. Wayne Hammack,Paul Mac Plummer,""Thomas A. Tommy Wilson, Jr."",Johnny Wyatt,Michael Mike Mosura,William Bill Kostelka,J. W. Slack,Kenneth M. Wiggins,Eddy Ray Presley,Julian Julius Darby,Lindell Webb,Mack Knotts,Tom Carleton,Charles R. Logan,Lorenz Lo Walker,Timothy Larkin,""David A. Montgomery, Jr."",Scott P. Irwin,Jeffery D. Jeff Darby,Don Bubba Williams,David Jones,James Chubby Knight",50
Benton,"Morgan Johnson,Martin Grau,David W. Hall,Robert Adley,""Ford E. Stinson, Jr."",Jamie Burns,Joan L. Carraway,Bobby W. Edmiston,Mike Collier,Cindy Johnston,Larry Deen,Cindy Johnston,Bobby W. Edmiston,John M. Chandler,Wanda Bennett,Allison Brigham,Tammy Armer Smith,Lorraine S. Ragsdale,""James E. Jim Frazier, Jr."",Albert Doughty,Charles Pilkinton,Richard A. Jackson,Linda Gates,Ronald Ronnie Jones,James Friday,Tommy Hill",26
Minden,"Fayrine Kennon-Gilbert,Rodney D. Seamster,Ronnie Broughton,Eric Red Johnson,""R. Harmon Drew, Jr."",Jean Doerge,Schuyler Marvin,Lee Estabrook,Denise Moorhead,Carlos Martin,Tommy Davis,Eric Johnson,Ronnie Broughton,Jennifer K. Smith,Martha Tucker,Gary S. Sexton,Holli Vining,Carlos Irizarry,Jim Bonsall,Charles D. Odom,Jerri Musgrow Lee,Vera Benton Davison,John C. Campbell,Jack Randy Shelley,Harold Johnson,Linda Kinsey,Ronnie L. Broughton,Frankie L. Mitchell,Johnnye Kennon,""Pierce Burton, Jr."",Mike Burton,Bill Robertson,Ava N. McWhorter,""T.C. Bloxom, Jr."",Verna Kay Stratton,Joseph Walden,Rodney D. Seamster,Fayrine Kennon-Gilbert,Magaline M. Quarles,Tommy Davis,Benny Gray",41
Simsboro,"William R. Sumlin,Curtis Dowling,Heath Hattaway,David Kent,Willie Hendricks,Billy C. Foster,Doug Durrett,Pamela Durrett,James Al Madden",9
Ruston,"Susan Singleton,Allen Herbert,Jennifer Daulton Ham,Rick Gallot,Hollis Downs,Cynthia Woodard,R. Wayne Smith,Emma Jones,John M. Buske,Laura Farrar,Donald Roy Faust,Wayne Harris,William Bill Hogan,Rolanda M. Howe,Alice Herrmann,Mike Stone,Linda Cook,Pamela C. Jones,James Michael Mike Belue,Theresa Moore Wyatt,Bobby Bennett,Roy D. Glover,Jody Backus,R. G. Skip Russell,Joe Henderson,Annie Martin Brown,Sharyon Mayfield,R. D. Mickey Mays,Danny W. Tatum,Michael Hilton,""Joe E. Mitcham, Jr."",Trott Hunt,Lisa Best,Lynda Henderson,Otha Anders,""George Mack, Sr."",Ted McKinney,Dan Hollingsworth,Levell Thurman,Elmore Mayfield,Jedd Lewis,Jim Pearce,Marie S. Riggs",43
Jonesboro,"Gay Maxwell,Bobby L. Culpepper,David Holton,James R.Jim Fannin,Jimmy Teat,Bobby L. Culpepper,Dusty Hampton,Robin Potts,Benton Ben Young,Roger Young,Robert Rubens,Andy Brown,Ann B. Walsworth,Eddie G. Gatlin,Bill Staples,Eddie Langston,""Nathaniel Zeno, Jr."",Maxie Faye Monroe,""Ray Duck, Jr."",Melissa Watts Perry,Harvey T. Robinson,Wade McBride,Sharon L. Satcher,Wilfred Foster,John R. Williams,Leslie Thompson,Wesley Horton,Randy Shows,Randy Layfield,Renee Stringer,Aaron Pete Stringer,Terry L. Wiley",32
Bastrop,"Barbara L. Mansfield,Travis Holley,Sam Little,Stan Neathery,Sam Little,Barbara L. Mansfield,Boots Farrar,Mike Tubbs,Carol Jones,John Hill,Floyd Tomboli,Mark Sistrunk,Jack Cockrell,Jason Crockett,Terry Matthews,Issac Gray,Phillip M. Lester,Lisa Chafford,Lisa Chain,Phillip W. McCready,Jeff Churchwell,Rodney Dew,Hamp Lenoir,Loe Dunn,Robert P. Deblieux,Glennis Lewis,Ben L. White,John Sawyer,Z.Z. Wilson,Vernon Butch Bostick,Erwin Hookey Evans,Ruthie Moore,Donna J. Atkins,Betty Alford-Olive,Marvin Moore,Obbie Johnson,William Sonny Nason,Roy Armstrong,Howard Loche",39
